filename,video_id,start_time,end_time,duration,id,transcription,usability,bg_music,bg_noise,other_voice,only_music,only_noise,other_sounds,annotator,annotate_date_YYYYMMDD,0
AneesaSmith_HrYDsGL1gxg_507201_515257.wav,AneesaSmith_HrYDsGL1gxg,507201,515257,8056,108,and I love um I love like Marshalls and tjmaxx because they just have everything but I also obviously love Target I'm just such a target girl I'm a target a holic,1,0,0,0,0,0,0,ak,2021-04-12 20:25:10.564584,
AneesaSmith_HrYDsGL1gxg_516137_516441.wav,AneesaSmith_HrYDsGL1gxg,516137,516441,304,109,that's,1,0,0,0,0,0,0,ak,2021-04-12 20:25:17.621737,
AneesaSmith_HrYDsGL1gxg_516721_517401.wav,AneesaSmith_HrYDsGL1gxg,516721,517401,680,110,I just made that up,1,0,0,0,0,0,0,ak,2021-04-12 20:25:23.821461,
AneesaSmith_HrYDsGL1gxg_518105_518209.wav,AneesaSmith_HrYDsGL1gxg,518105,518209,104,111,,0,0,0,0,0,1,0,ak,2021-04-12 20:25:27.935816,
AneesaSmith_HrYDsGL1gxg_518361_521145.wav,AneesaSmith_HrYDsGL1gxg,518361,521145,2784,112,what tips do you have for ladies who want to start freelancing,1,0,0,0,0,0,0,ak,2021-04-12 20:25:54.319871,
AneesaSmith_HrYDsGL1gxg_521561_523649.wav,AneesaSmith_HrYDsGL1gxg,521561,523649,2088,113,oh that's a good question um,1,0,0,0,0,0,0,ak,2021-04-12 20:26:02.674829,
AneesaSmith_HrYDsGL1gxg_523849_532289.wav,AneesaSmith_HrYDsGL1gxg,523849,532289,8440,114,I think if I had tips uh my first tip would be to save your money because makeup is so expensive um and especially if you want to have like a kit and you want to like be working on other people makeup,1,0,0,0,0,0,0,ak,2021-04-12 20:26:32.472627,
AneesaSmith_HrYDsGL1gxg_532601_534969.wav,AneesaSmith_HrYDsGL1gxg,532601,534969,2368,115,not cheap I can't even tell you how many,1,0,0,0,0,0,0,ak,2021-04-12 20:26:43.688368,
AneesaSmith_HrYDsGL1gxg_535561_535841.wav,AneesaSmith_HrYDsGL1gxg,535561,535841,280,116,many,1,0,0,0,0,0,0,ak,2021-04-12 20:26:47.334734,
AneesaSmith_HrYDsGL1gxg_536177_545473.wav,AneesaSmith_HrYDsGL1gxg,536177,545473,9296,117,dollars I've spent on makeup and stuff like that because you have to take into consideration you have to get different colors you have to get different you know like foundation shades concealer shades you have to get bunch,1,0,0,0,0,0,0,ak,2021-04-12 20:27:12.962928,
AneesaSmith_HrYDsGL1gxg_545849_546633.wav,AneesaSmith_HrYDsGL1gxg,545849,546633,784,118,palettes and,1,0,0,0,0,0,0,ak,2021-04-12 20:27:20.589933,
AneesaSmith_HrYDsGL1gxg_546993_547857.wav,AneesaSmith_HrYDsGL1gxg,546993,547857,864,119,you know you try to get,1,0,0,0,0,0,0,ak,2021-04-12 20:27:31.872966,
AneesaSmith_HrYDsGL1gxg_548177_553803.wav,AneesaSmith_HrYDsGL1gxg,548177,553803,5626,120,uh m- I mean you try to get as many things as you can to be like as a versatile as you can possibly be because you're gonna be working on so many different,1,0,0,0,0,0,0,ak,2021-04-12 20:27:53.233725,
AneesaSmith_HrYDsGL1gxg_553987_559004.wav,AneesaSmith_HrYDsGL1gxg,553987,559004,5017,121,people so my first tip would probably be to save your money because it's expensive and it's it's_unc a very,1,0,0,0,0,0,0,ak,2021-04-12 20:28:12.679014,
AneesaSmith_HrYDsGL1gxg_559388_564837.wav,AneesaSmith_HrYDsGL1gxg,559388,564837,5449,122,it's a very expensive hobby turned into which can turn into a job if that's what you're wanting,1,0,0,0,0,0,0,ak,2021-04-12 20:28:29.191866,
